公司代码,年份,词频
000407,2015,1
000407,2016,0
000407,2017,0
000407,2018,0
000407,2019,1
000408,2007,0
000408,2008,0
000408,2009,0
000408,2010,0
000408,2011,0
000408,2012,0
000408,2013,0
000408,2014,0
000408,2015,0
000408,2016,0
000408,2017,0
000408,2018,0
000409,2017,0
000409,2018,0
000409,2019,0
000409,2007,0
000409,2008,0
000409,2009,0
000409,2010,0
000409,2011,0
000409,2012,0
000409,2013,0
000409,2014,0
000409,2015,0
000409,2016,0
000410,2019,2
000410,2007,0
000410,2008,0
000410,2009,1
000410,2010,1
000410,2011,0
000410,2012,2
000410,2013,0
000410,2014,0
000410,2015,0
000410,2016,0
000410,2017,1
000410,2018,2
000411,2007,0
000411,2008,1
000411,2009,8
000411,2010,14
000411,2011,8
000411,2012,7
000411,2013,5
000411,2014,11
000411,2015,17
000411,2016,10
000411,2017,22
000411,2018,11
000411,2019,22
000413,2007,0
000413,2008,0
000413,2009,0
000413,2010,0
000413,2011,0
000413,2012,0
000413,2013,0
000413,2014,0
000413,2015,0
000413,2016,0
000413,2017,1
000413,2018,3
000413,2019,1
000415,2018,0
000415,2019,0
000415,2007,0
000415,2008,0
000415,2009,0
000415,2010,0
000415,2011,0
000415,2012,0
000415,2013,1
000415,2014,1
000415,2015,5
000415,2016,0
000415,2017,0
000417,2007,0
000417,2008,0
000417,2009,0
000417,2010,0
000417,2011,0
000417,2012,0
000417,2013,0
000417,2014,0
000417,2015,1
000417,2016,3
000417,2017,5
000417,2018,9
000417,2019,3
000418,2007,0
000418,2008,0
000418,2009,0
000418,2010,0
000418,2011,0
000418,2012,1
000418,2013,2
000418,2014,5
000418,2015,9
000418,2016,1
000418,2017,3
000418,2018,1
000419,2007,0
000419,2008,0
000419,2009,0
000419,2010,2
000419,2011,4
000419,2012,3
000419,2013,14
000419,2014,8
000419,2015,8
000419,2016,7
000419,2017,1
000419,2018,2
000419,2019,3
000420,2007,0
000420,2008,0
000420,2009,0
000420,2010,0
000420,2011,0
000420,2012,0
000420,2013,0
000420,2014,0
000420,2015,0
000420,2016,0
000420,2017,0
000420,2018,0
000420,2019,0
000421,2007,0
