公司代码,年份,词频
000100,2013,C2B-1
000100,2013,O2O-5
000100,2013,移动支付-1
000100,2013,移动互联网-1
000100,2013,电子商务-1
000100,2013,B2B-1
000100,2013,B2C-1
000100,2013,智能家居-2
000100,2014,大数据-5
000100,2014,O2O-15
000100,2014,移动支付-2
000100,2014,第三方支付-4
000100,2014,移动互联网-18
000100,2014,移动互联-1
000100,2014,电子商务-1
000100,2014,B2B-2
000100,2014,智能家居-4
000100,2015,大数据-10
000100,2015,云计算-4
000100,2015,物联网-1
000100,2015,O2O-10
000100,2015,移动互联网-18
000100,2015,移动互联-1
000100,2015,B2B-2
000100,2015,智能家居-10
000100,2015,互联网金融-2
000100,2016,大数据-2
000100,2016,云计算-1
000100,2016,O2O-4
000100,2016,移动互联网-14
000100,2016,B2B-1
000100,2016,智能家居-4
000100,2016,智能环保-1
000100,2017,人工智能-13
000100,2017,大数据-9
000100,2017,云计算-1
000100,2017,O2O-2
000100,2017,移动互联网-10
000100,2017,工业互联网-4
000100,2017,B2B-1
000100,2017,智能家居-3
000100,2018,人工智能-9
000100,2018,大数据-6
000100,2018,工业互联网-10
000100,2018,B2C-1
000100,2018,智能家居-2
000150,2014,大数据-1
000150,2014,O2O-1
000150,2014,移动互联网-1
000150,2015,大数据-2
000150,2015,电子商务-2
000150,2016,大数据-4
000150,2016,移动互联网-1
000150,2016,互联网医疗-21
000150,2016,智能医疗-2
000150,2017,大数据-3
000150,2017,移动互联网-1
000150,2017,互联网医疗-11
000150,2018,大数据-3
000150,2018,互联网医疗-6
000150,2019,大数据-2
000150,2019,互联网医疗-6
000156,2012,云计算-1
000156,2012,移动互联网-2
000156,2013,云计算-1
000156,2013,移动互联网-3
000156,2013,B2C-2
000156,2014,大数据-3
000156,2014,网联-1
000156,2015,大数据-17
000156,2015,云计算-1
000156,2015,网联-1
000156,2015,移动互联网-2
000156,2016,大数据-8
000156,2016,云计算-3
000156,2016,物联网-1
000156,2016,移动互联网-2
000156,2017,人工智能-1
000156,2017,大数据-20
000156,2017,云计算-1
000156,2017,物联网-2
000156,2017,网联-1
000156,2018,人工智能-2
000156,2018,大数据-11
000156,2018,云计算-3
000156,2018,物联网-10
000156,2018,电子商务-1
